,hits@1,hits@3,hits@10,hits@50,hits@100
/base/x2010fifaworldcupsouthafrica/world_cup_squad/current_world_cup_squad./base/x2010fifaworldcupsouthafrica/current_world_cup_squad/current_club_inv,0.10344827586206896,0.27586206896551724,0.6206896551724138,1.0,1.0
/baseball/baseball_team/team_stats./baseball/baseball_team_stats/season,0.8518518518518519,0.9259259259259259,1.0,1.0,1.0
/baseball/baseball_team/team_stats./baseball/baseball_team_stats/season_inv,0.7777777777777778,0.9259259259259259,0.9629629629629629,1.0,1.0
/broadcast/content/artist,0.14285714285714285,0.2857142857142857,0.35714285714285715,0.5714285714285714,0.7142857142857143
/broadcast/content/artist_inv,0.8571428571428571,1.0,1.0,1.0,1.0
/business/business_operation/industry,0.43902439024390244,0.6097560975609756,0.9024390243902439,1.0,1.0
/business/business_operation/industry_inv,0.04878048780487805,0.04878048780487805,0.3170731707317073,0.6585365853658537,0.7804878048780488
/business/business_operation/revenue./measurement_unit/dated_money_value/currency,1.0,1.0,1.0,1.0,1.0
/business/business_operation/revenue./measurement_unit/dated_money_value/currency_inv,0.0,0.0,1.0,1.0,1.0
/business/job_title/people_with_this_title./business/employment_tenure/company,0.07058823529411765,0.15294117647058825,0.24705882352941178,0.6235294117647059,0.7764705882352941
/business/job_title/people_with_this_title./business/employment_tenure/company_inv,0.3058823529411765,0.6,0.9294117647058824,0.9882352941176471,0.9882352941176471
/celebrities/celebrity/celebrity_friends./celebrities/friendship/friend,0.0,0.0,0.0,1.0,1.0
/celebrities/celebrity/celebrity_friends./celebrities/friendship/friend_inv,1.0,1.0,1.0,1.0,1.0
/common/topic/webpage./common/webpage/category,1.0,1.0,1.0,1.0,1.0
/common/topic/webpage./common/webpage/category_inv,0.0024875621890547263,0.004975124378109453,0.02736318407960199,0.08955223880597014,0.1517412935323383
/dataworld/gardening_hint/split_to,0.4,0.5,0.5,0.5,0.7
/dataworld/gardening_hint/split_to_inv,0.4,0.6,0.6,0.6,0.6
/education/educational_degree/people_with_this_degree./education/education/institution,0.1289198606271777,0.20557491289198607,0.29965156794425085,0.554006968641115,0.7317073170731707
/education/educational_degree/people_with_this_degree./education/education/institution_inv,0.5331010452961672,0.7526132404181185,0.9581881533101045,1.0,1.0
/education/educational_degree/people_with_this_degree./education/education/major_field_of_study,0.19047619047619047,0.2857142857142857,0.6190476190476191,0.9523809523809523,1.0
/education/educational_degree/people_with_this_degree./education/education/major_field_of_study_inv,0.49206349206349204,0.7301587301587301,0.9682539682539683,1.0,1.0
/education/educational_degree/people_with_this_degree./education/education/student,0.037037037037037035,0.037037037037037035,0.1111111111111111,0.2962962962962963,0.5185185185185185
/education/educational_degree/people_with_this_degree./education/education/student_inv,0.5185185185185185,0.7777777777777778,1.0,1.0,1.0
/education/educational_institution/campuses,1.0,1.0,1.0,1.0,1.0
/education/educational_institution/campuses_inv,1.0,1.0,1.0,1.0,1.0
/education/educational_institution/colors,0.24444444444444444,0.5888888888888889,0.9111111111111111,1.0,1.0
/education/educational_institution/colors_inv,0.011111111111111112,0.03333333333333333,0.08888888888888889,0.36666666666666664,0.6111111111111112
/education/educational_institution/school_type,0.5875,0.8375,0.9875,1.0,1.0
/education/educational_institution/school_type_inv,0.025,0.05,0.1625,0.5125,0.7375
/education/educational_institution/students_graduates./education/education/major_field_of_study,0.1806853582554517,0.38006230529595014,0.6386292834890965,0.9376947040498442,0.9968847352024922
/education/educational_institution/students_graduates./education/education/major_field_of_study_inv,0.08411214953271028,0.14953271028037382,0.2585669781931464,0.5202492211838006,0.6822429906542056
/education/educational_institution/students_graduates./education/education/student,0.01929260450160772,0.06109324758842444,0.12861736334405144,0.2861736334405145,0.36012861736334406
/education/educational_institution/students_graduates./education/education/student_inv,0.12218649517684887,0.2797427652733119,0.42443729903536975,0.7331189710610932,0.842443729903537
/education/educational_institution_campus/educational_institution,1.0,1.0,1.0,1.0,1.0
/education/educational_institution_campus/educational_institution_inv,1.0,1.0,1.0,1.0,1.0
/education/field_of_study/students_majoring./education/education/major_field_of_study,0.5454545454545454,0.5454545454545454,0.6363636363636364,1.0,1.0
/education/field_of_study/students_majoring./education/education/major_field_of_study_inv,0.09090909090909091,0.2727272727272727,0.45454545454545453,0.9090909090909091,1.0
/education/field_of_study/students_majoring./education/education/student,0.0,0.058823529411764705,0.11764705882352941,0.38235294117647056,0.5
/education/field_of_study/students_majoring./education/education/student_inv,0.20588235294117646,0.3235294117647059,0.7058823529411765,0.9117647058823529,0.9705882352941176
/education/university/domestic_tuition./measurement_unit/dated_money_value/currency,1.0,1.0,1.0,1.0,1.0
/education/university/domestic_tuition./measurement_unit/dated_money_value/currency_inv,0.0,0.0,0.4,1.0,1.0
/education/university/fraternities_and_sororities,0.7619047619047619,1.0,1.0,1.0,1.0
/education/university/fraternities_and_sororities_inv,0.0,0.14285714285714285,0.2857142857142857,0.5238095238095238,0.6190476190476191
/education/university/local_tuition./measurement_unit/dated_money_value/currency,1.0,1.0,1.0,1.0,1.0
/education/university/local_tuition./measurement_unit/dated_money_value/currency_inv,0.0,0.0,0.0,0.0,1.0
/film/actor/dubbing_performances./film/dubbing_performance/language,1.0,1.0,1.0,1.0,1.0
/film/actor/dubbing_performances./film/dubbing_performance/language_inv,0.0,0.25,0.25,0.3333333333333333,0.3333333333333333
/film/actor/film./film/performance/film,0.09210526315789473,0.13277511961722488,0.18181818181818182,0.3253588516746411,0.41626794258373206
/film/actor/film./film/performance/film_inv,0.06578947368421052,0.10645933014354067,0.18421052631578946,0.30023923444976075,0.38995215311004783
/film/actor/film./film/performance/special_performance_type,0.9375,1.0,1.0,1.0,1.0
/film/actor/film./film/performance/special_performance_type_inv,0.0,0.0625,0.0625,0.0625,0.1875
/film/director/film,0.3157894736842105,0.3684210526315789,0.42105263157894735,0.7894736842105263,0.7894736842105263
/film/director/film_inv,0.42105263157894735,0.42105263157894735,0.6842105263157895,0.7894736842105263,0.8947368421052632
/film/film/cinematography,0.5294117647058824,0.5882352941176471,0.7058823529411765,1.0,1.0
/film/film/cinematography_inv,0.23529411764705882,0.23529411764705882,0.35294117647058826,0.5882352941176471,0.6470588235294118
/film/film/costume_design_by,0.6153846153846154,0.7692307692307693,0.9230769230769231,0.9230769230769231,0.9230769230769231
/film/film/costume_design_by_inv,0.0,0.3076923076923077,0.38461538461538464,0.8461538461538461,0.8461538461538461
/film/film/country,0.6793893129770993,0.816793893129771,0.9236641221374046,0.9923664122137404,0.9923664122137404
/film/film/country_inv,0.11450381679389313,0.16030534351145037,0.25190839694656486,0.5343511450381679,0.6412213740458015
/film/film/distributors./film/film_film_distributor_relationship/film_distribution_medium,0.7368421052631579,1.0,1.0,1.0,1.0
/film/film/distributors./film/film_film_distributor_relationship/film_distribution_medium_inv,0.2894736842105263,0.631578947368421,0.7105263157894737,0.8947368421052632,0.9473684210526315
/film/film/distributors./film/film_film_distributor_relationship/region,1.0,1.0,1.0,1.0,1.0
/film/film/distributors./film/film_film_distributor_relationship/region_inv,0.8,1.0,1.0,1.0,1.0
/film/film/dubbing_performances./film/dubbing_performance/actor,0.125,0.375,0.375,0.75,0.875
/film/film/dubbing_performances./film/dubbing_performance/actor_inv,0.25,0.375,0.75,1.0,1.0
